			[*strength.w=>-p]	[*footmin-s-noHX]	[*footmin-wordbound-lexmono]	[*skip_initial_foot]
	my.sor|ROWS|i|THEN|might|AS.SUAGE					
	MY|sor|ROWS|i|THEN|might.as|SUAGE					
	my|SOR.ROWS|i|THEN|might.as|SUAGE					
	my.sor|ROWS|i|THEN|might.as|SUAGE					
	MY|sor.rows|I|then.might|AS.SUAGE					
	my|SOR|rows|I|then.might|AS.SUAGE					
	my|SOR|rows.i|THEN|might|AS.SUAGE					
	MY|sor|ROWS|i.then|MIGHT|as|SUAGE					
	my|SOR.ROWS|i.then|MIGHT|as|SUAGE					
	my.sor|ROWS|i.then|MIGHT|as|SUAGE					
In the ways of religion and truth,	in.the|WAYS|of.re|LI|gion.and|TRUTH	2				
	IN|the|WAYS|of|RE.LI|gion|AND|truth					
	IN|the|WAYS|of|RE.LI|gion.and|TRUTH					
	IN|the|WAYS|of.re|LI|gion|AND|truth					
	IN|the|WAYS|of.re|LI|gion.and|TRUTH					
	IN|the|WAYS|of.re|LI.GION|and|TRUTH					
	in|THE|ways|OF|re|LI|gion|AND|truth					
	in|THE|ways|OF|re|LI|gion.and|TRUTH					
	in|THE|ways|OF|re|LI.GION|and|TRUTH					
	in.the|WAYS|of|RE.LI|gion|AND|truth					
	in.the|WAYS|of|RE.LI|gion.and|TRUTH					
	in.the|WAYS|of.re|LI|gion|AND|truth					
	in.the|WAYS|of.re|LI.GION|and|TRUTH					
Might learn from the wisdom of age,	might|LEARN|from.the|WIS|dom.of|AGE	2				
	MIGHT|learn|FROM|the|WIS|dom|OF|age					
	MIGHT|learn|FROM|the|WIS|dom.of|AGE					
	might|LEARN|from.the|WIS|dom|OF|age					
And be cheer'd by the sallies of youth.	and.be|CHEER'D|by.the|SAL|lies.of|YOUTH	2				
	AND|be|CHEER'D|by.the|SAL|lies|OF|youth					
	AND|be|CHEER'D|by.the|SAL|lies.of|YOUTH					
	AND|be|CHEER'D|by.the|SAL.LIES|of|YOUTH					
