line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
he mused beside the well of scanavin    	wswswswsw	3.0	0	2.0	0	0	0	0.0	0
                                        	wswswswss	0	0	0	1.0	10.0	0	0.0	0
he mused upon his mockers without fail  	wswswswwss	0	0	0	2.0	0	0	1.0	0
                                        	wswswswwsw	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wswswswssw	0	2.0	2.0	1.0	10.0	0	0.0	3.0
his sudden vengeance were a country tale	wswswswsws	0	2.0	0	0	0	0	0.0	0
when earthy night had drunk his body in 	wswswswsws	0	0	0	0	0	0	0.0	0
but one small knot grass growing by the pool	wwsswswsws	0	2.0	2.0	2.0	0	0	1.0	0
                                        	swswwswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	0	4.0	4.0	0	0	0	0.0	0
                                        	wwswwswwss	0	2.0	2.0	4.0	0	0	0.0	0
sang where unnecessary cruel voice      	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	swwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	sswswswsws	0	0	0	1.0	10.0	0	0.0	0
old silence bids its chosen race rejoice	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	sswswswsws	0	0	0	1.0	10.0	0	0.0	0
whatever ravelled waters rise and fall  	wswswswsws	0	0	0	0	0	0	0.0	0
or stormy silver fret the gold of day   	wswswswsws	0	0	0	0	0	0	0.0	0
and midnight there enfold them like a fleece	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	0
                                        	wwswwswsws	3.0	0	2.0	2.0	0	0	2.0	0
                                        	wwswwswsww	3.0	0	4.0	3.0	0	1.0	1.0	0
                                        	wsswwswsws	0	0	0	2.0	10.0	0	1.0	0
                                        	wwswwswwss	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwswwsswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwswwswwsw	3.0	2.0	6.0	3.0	0	0	1.0	0
and lover there by lover be at peace    	wswswswsws	0	2.0	0	0	0	0	0.0	0
the tale drove his fine angry mood away 	wswwsswsws	0	0	2.0	2.0	0	0	1.0	0
                                        	wswswswsws	0	2.0	4.0	0	0	0	0.0	0
                                        	swswsswsws	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	wwswwsswws	0	2.0	6.0	4.0	0	0	0.0	3.0
                                        	wsswswwsws	3.0	0	2.0	2.0	10.0	0	1.0	0
                                        	wsswsswsws	0	0	0	2.0	20.0	0	0.0	0
he slept under the hill of lugnagall    	swswwswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wwswwswsws	0	0	2.0	2.0	0	0	2.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wwswwswsww	3.0	0	4.0	3.0	0	1.0	1.0	0
                                        	wsswwswsws	0	0	0	2.0	10.0	0	1.0	0
                                        	wwswwsswws	3.0	2.0	4.0	4.0	0	0	0.0	0
                                        	wwswwswwsw	6.0	2.0	6.0	3.0	0	0	1.0	3.0
and might have known at last unhaunted sleep	wswswswsws	0	0	0	0	0	0	0.0	0
under that cold and vapour turbaned steep	swwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	swsswswsws	0	0	0	1.0	10.0	0	0.0	0
now that the earth had taken man and all	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	swwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	sswswswsws	0	0	0	1.0	10.0	0	0.0	0
did not the worms that spired about his bones	wswswswwsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswswsws	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	wswswswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	wswswswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
proclaim with that unwearied reedy cry  	wswswswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	wswswswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
that god has laid his fingers on the sky	wswswswsws	0	2.0	0	0	0	0	0.0	0
that from those fingers glittering summer runs	swwswswwsws	0	0	0	2.0	0	0	2.0	0
                                        	wswswswwsws	0	2.0	0	1.0	0	0	1.0	0
                                        	swwswswwsww	0	0	2.0	3.0	0	1.0	1.0	0
                                        	wswswswswsw	3.0	6.0	4.0	0	0	0	0.0	3.0
                                        	wswswswswss	3.0	6.0	2.0	1.0	10.0	0	0.0	3.0
upon the dancer by the dreamless wave   	wswswswsws	0	2.0	0	0	0	0	0.0	0
why should those lovers that no lovers miss	wswswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wswswwssws	0	0	0	2.0	0	0	1.0	0
dream until god burn nature with a kiss 	swswwswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	swswswswsw	3.0	4.0	6.0	0	0	0	0.0	3.0
                                        	wswswswsws	3.0	4.0	6.0	0	0	0	0.0	3.0
                                        	swswswswss	3.0	4.0	4.0	1.0	10.0	0	0.0	3.0
the man has found no comfort in the grave	wswswswsws	0	0	2.0	0	0	0	0.0	0
when my arms wrap you round i press     	wwsswsws	0	0	0	2.0	0	0	1.0	0
                                        	swswwsws	0	0	2.0	1.0	0	0	1.0	0
                                        	swwswsws	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwsswwss	0	2.0	0	4.0	0	0	0.0	0
                                        	swsswsws	0	0	0	1.0	10.0	0	0.0	0
my heart upon the loveliness            	wswswsws	0	2.0	0	0	0	0	0.0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	1.0	0
that has long faded from the world      	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwsswsws	0	2.0	0	2.0	0	0	1.0	0
                                        	wwsswwss	0	2.0	0	4.0	0	0	0.0	0
                                        	swsswsws	0	2.0	0	1.0	10.0	0	0.0	0
the jewelled crowns that kings have hurled	wswswsws	0	0	0	0	0	0	0.0	0
in shadowy pools when armies fled       	wswwswsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	sswwsswws	3.0	0	2.0	4.0	10.0	0	0.0	0
the love tales wrought with silken thread	wswswsws	0	0	2.0	0	0	0	0.0	0
by dreaming ladies upon cloth           	wswswwss	0	0	0	2.0	0	0	1.0	0
                                        	wswswwsw	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	wswswssw	0	2.0	2.0	1.0	10.0	0	0.0	3.0
that has made fat the murderous moth    	wswswswws	0	0	2.0	1.0	0	0	1.0	0
                                        	wwsswswws	0	0	0	3.0	0	0	1.0	0
                                        	wswswswsw	0	2.0	4.0	0	0	0	0.0	0
                                        	swsswswws	0	0	0	2.0	10.0	0	1.0	0
                                        	swsswswsw	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	wswswswss	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	swsswswss	0	2.0	0	2.0	20.0	0	0.0	0
the roses that of old time were         	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswwsw	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswssw	0	0	0	1.0	10.0	0	0.0	0
woven by ladies in their hair           	swwswsws	0	0	0	1.0	0	0	1.0	0
                                        	swwswwss	0	2.0	0	3.0	0	0	0.0	0
                                        	wswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
the dew cold lilies ladies bore         	wswswsws	0	0	2.0	0	0	0	0.0	0
through many a sacred corridor          	wswwswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wswwswsww	0	0	0	2.0	0	1.0	2.0	0
                                        	swswswsws	3.0	6.0	2.0	0	0	0	0.0	3.0
                                        	swswswsww	3.0	4.0	2.0	1.0	0	1.0	1.0	3.0
where such grey clouds of incense rose  	wwsswwss	0	0	0	4.0	0	0	0.0	0
                                        	swwswwss	0	0	2.0	3.0	0	0	0.0	0
                                        	swswswsw	0	2.0	4.0	0	0	0	0.0	0
                                        	swwswwsw	0	0	4.0	2.0	0	0	1.0	0
                                        	swswwssw	0	0	4.0	2.0	0	0	1.0	0
                                        	wswswwss	0	2.0	2.0	2.0	0	0	1.0	0
                                        	wwsswsws	3.0	0	2.0	2.0	0	0	1.0	0
                                        	swswwsws	3.0	0	4.0	1.0	0	0	1.0	0
                                        	swwswsws	3.0	0	4.0	1.0	0	0	1.0	0
                                        	swsswwss	0	0	0	3.0	10.0	0	1.0	0
                                        	swswswss	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	swsswwsw	0	0	2.0	2.0	10.0	0	1.0	0
                                        	swsswsws	3.0	0	2.0	1.0	10.0	0	0.0	0
                                        	swsswssw	0	0	2.0	2.0	20.0	0	0.0	0
that only god's eyes did not close      	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wswsswws	0	0	0	2.0	10.0	0	1.0	0
                                        	wswsswss	0	0	0	2.0	20.0	0	0.0	0
for that pale breast and lingering hand 	wswswsws	0	0	2.0	0	0	0	0.0	0
                                        	wwsswsws	0	0	0	2.0	0	0	1.0	0
                                        	swsswsws	0	2.0	0	1.0	10.0	0	0.0	0
come from a more dream heavy land       	swwswsws	0	0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	4.0	0	0	0	0.0	0
                                        	swwsswws	3.0	0	2.0	3.0	0	0	0.0	0
                                        	swswssws	0	2.0	0	1.0	10.0	0	0.0	0
a more dream heavy hour than this       	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswsww	0	0	2.0	1.0	0	1.0	1.0	0
                                        	wwsswsws	0	2.0	0	2.0	0	0	1.0	0
                                        	wwsswsww	0	0	0	3.0	0	1.0	1.0	0
                                        	swsswsws	0	4.0	0	1.0	10.0	0	0.0	0
                                        	swsswsww	0	2.0	0	2.0	10.0	1.0	1.0	0
and when you sigh from kiss to kiss     	wswswsws	0	0	0	0	0	0	0.0	0
i hear white beauty sighing too         	wswswsws	0	0	2.0	0	0	0	0.0	0
for hours when all must fade like dew   	wswswsws	0	0	0	0	0	0	0.0	0
but flame on flame and deep on deep     	wswswsws	0	0	0	0	0	0	0.0	0
throne over throne where in half sleep  	wswswsws	0	0	4.0	0	0	0	0.0	0
                                        	wswswwss	0	0	2.0	2.0	0	0	1.0	0
                                        	sswswsws	0	0	2.0	1.0	10.0	0	0.0	0
                                        	sswswwss	0	0	0	3.0	10.0	0	1.0	0
                                        	sswsswss	0	0	0	3.0	30.0	0	0.0	0
their swords upon their iron knees      	wswswsws	0	0	0	0	0	0	0.0	0
brood her high lonely mysteries         	swwswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	swwswsww	0	0	2.0	2.0	0	1.0	1.0	0
                                        	wswswsws	0	4.0	4.0	0	0	0	0.0	0
                                        	wswswsww	0	2.0	4.0	1.0	0	1.0	1.0	0
                                        	swsswsws	0	2.0	0	1.0	10.0	0	0.0	0
                                        	swsswsww	0	0	0	2.0	10.0	1.0	1.0	0
                                        	swwswwss	3.0	2.0	4.0	3.0	0	0	0.0	3.0
the dews drop slowly and dreams gather unknown spears	wswswwsswwss	0	0	2.0	4.0	0	0	2.0	0
                                        	wswswswswwss	0	2.0	4.0	2.0	0	0	1.0	0
                                        	wswswwsswwsw	0	0	4.0	3.0	0	0	2.0	0
                                        	wswswswswwsw	0	2.0	6.0	1.0	0	0	1.0	0
                                        	wswswwsswsws	3.0	2.0	4.0	2.0	0	0	1.0	3.0
                                        	wswswswswsws	3.0	4.0	6.0	0	0	0	0.0	3.0
                                        	wswswwsswssw	0	2.0	4.0	3.0	10.0	0	1.0	3.0
                                        	wswswswswssw	0	4.0	6.0	1.0	10.0	0	0.0	3.0
suddenly hurtle before my dream awakened eyes	swwswwswswsws	0	0	0	2.0	0	0	2.0	0
                                        	swswswswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wswswwswswsws	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	swwswsswswsws	0	0	0	2.0	10.0	0	1.0	0
                                        	swwswwswswwss	3.0	2.0	2.0	4.0	0	0	1.0	3.0
                                        	swwswwswwswws	3.0	2.0	4.0	4.0	0	0	0.0	3.0
                                        	wswswsswswsws	3.0	2.0	2.0	1.0	10.0	0	0.0	3.0
and then the clash of fallen horsemen and the cries	wswswswswsws	0	2.0	0	0	0	0	0.0	0
of unknown perishing armies beat about my ears	wwsswwswswsws	0	0	0	3.0	0	0	2.0	0
                                        	swwswwswswsws	3.0	2.0	2.0	2.0	0	0	2.0	0
                                        	swswswswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wswswwswswsws	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	wwswswswswsws	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	wwsswwswswwss	3.0	2.0	2.0	5.0	0	0	1.0	0
                                        	swsswwswswsws	0	2.0	0	2.0	10.0	0	1.0	0
                                        	wwsswwswwswws	3.0	2.0	4.0	5.0	0	0	0.0	3.0
                                        	swwswwswswwss	6.0	4.0	4.0	4.0	0	0	1.0	0
                                        	swwswwswwswws	6.0	4.0	6.0	4.0	0	0	0.0	3.0
we who still labour by the cromlech on the shore	wswswswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	wwsswswswsws	0	4.0	0	2.0	0	0	1.0	0
                                        	wswwswwswsws	3.0	2.0	2.0	2.0	0	0	2.0	0
                                        	wwswswwswsws	3.0	2.0	2.0	2.0	0	0	2.0	0
                                        	wswwswwswwss	3.0	2.0	2.0	4.0	0	0	1.0	0
                                        	wwswswwswwss	3.0	2.0	2.0	4.0	0	0	1.0	0
                                        	wswsswwswsws	0	2.0	2.0	2.0	10.0	0	1.0	0
                                        	swsswswswsws	0	6.0	0	1.0	10.0	0	0.0	0
the grey cairn on the hill when day sinks drowned in dew	wswswswswsws	0	2.0	4.0	0	0	0	0.0	0
                                        	wwswwswswsws	0	0	4.0	2.0	0	0	2.0	0
                                        	wwswwswwssws	0	0	4.0	4.0	0	0	1.0	0
                                        	wwswwsswwsws	0	0	4.0	4.0	0	0	1.0	0
                                        	wwswwswswwss	0	0	4.0	4.0	0	0	1.0	0
                                        	wwswwswwswws	0	0	6.0	4.0	0	0	0.0	0
                                        	wwswwswwswws	0	0	6.0	4.0	0	0	0.0	0
                                        	wwswwswwswws	0	0	6.0	4.0	0	0	0.0	0
                                        	wwswwswwswws	0	0	6.0	4.0	0	0	0.0	0
                                        	wsswwswswsws	0	0	2.0	2.0	10.0	0	1.0	0
being weary of the world's empires bow down to you	swswswwswswsw	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswwswswswsw	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswswsswswsw	0	4.0	0	1.0	10.0	0	0.0	0
                                        	swswswswswsws	3.0	8.0	4.0	0	0	0	0.0	3.0
master of the still stars and of the flaming door	swswswswwsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswswwswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswwswswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swwswswswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswsswswsws	0	4.0	0	1.0	10.0	0	0.0	0
                                        	wswswswswsws	3.0	6.0	4.0	0	0	0	0.0	3.0
i wander by the edge                    	wswsws	0	2.0	0	0	0	0	0.0	0
of this desolate lake                   	wwswws	0	0	0	2.0	0	0	0.0	0
                                        	swswws	0	2.0	0	1.0	0	0	1.0	0
                                        	swswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswsw	0	0	2.0	1.0	0	0	1.0	0
                                        	swswss	0	2.0	0	1.0	10.0	0	0.0	0
where wind cries in the sedge           	wswsws	0	0	2.0	0	0	0	0.0	0
                                        	wsswws	0	0	0	2.0	10.0	0	1.0	0
                                        	wsswss	0	2.0	0	2.0	20.0	0	0.0	0
until the axle break                    	wswsws	0	0	0	0	0	0	0.0	0
that keeps the stars in their round     	wswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	2.0	0	0	0	0	0.0	0
                                        	wswssws	0	0	0	1.0	10.0	0	0.0	0
and hands hurl in the deep              	wswsws	0	0	2.0	0	0	0	0.0	0
                                        	wsswws	0	0	0	2.0	10.0	0	1.0	0
                                        	wsswss	0	2.0	0	2.0	20.0	0	0.0	0
the banners of east and west            	wswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	4.0	4.0	0	0	0	0.0	0
                                        	swswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wswswss	0	4.0	2.0	1.0	10.0	0	0.0	0
and the girdle of light is unbound      	wwswwswws	0	0	0	3.0	0	0	0.0	0
                                        	swswwswws	0	2.0	0	2.0	0	0	1.0	0
                                        	swswswsws	0	6.0	2.0	0	0	0	0.0	0
                                        	wwswswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swswwswsw	3.0	4.0	2.0	1.0	0	0	1.0	3.0
                                        	wwswwswsw	3.0	2.0	2.0	2.0	0	0	2.0	3.0
your breast will not lie by the breast  	wswwswws	0	0	0	2.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wswsswss	0	2.0	0	2.0	20.0	0	0.0	0
of your beloved in sleep                	wswsws	0	2.0	0	0	0	0	0.0	0
when i play on my fiddle in dooney      	swswwswwsw	0	0	0	2.0	0	0	2.0	0
                                        	wwswwswwsw	0	0	0	3.0	0	0	1.0	0
                                        	wswswswwsw	0	4.0	2.0	1.0	0	0	1.0	0
                                        	wwswwswwss	0	2.0	0	4.0	0	0	0.0	3.0
                                        	swswwswsws	3.0	2.0	2.0	1.0	0	0	1.0	3.0
                                        	swswswswsw	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	swswwswssw	0	0	0	2.0	10.0	0	1.0	0
                                        	wswswswssw	0	4.0	2.0	1.0	10.0	0	0.0	0
folk dance like a wave of the sea       	swswswws	0	0	2.0	1.0	0	0	1.0	0
                                        	swswswsw	0	2.0	4.0	0	0	0	0.0	0
                                        	sswwswws	0	0	0	3.0	10.0	0	0.0	0
                                        	swswswss	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	swswssws	0	2.0	2.0	1.0	10.0	0	0.0	0
my cousin is priest in kilvarnet        	wswwsswsw	0	0	0	2.0	0	0	1.0	0
                                        	wswswswsw	0	2.0	2.0	0	0	0	0.0	0
my brother in mocharabuiee              	wswwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wswsswsws	0	0	0	1.0	10.0	0	0.0	0
                                        	swswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
i passed my brother and cousin          	wswswwsw	0	0	0	1.0	0	0	1.0	0
                                        	wswswsws	3.0	4.0	2.0	0	0	0	0.0	3.0
                                        	wswswssw	0	2.0	0	1.0	10.0	0	0.0	0
they read in their books of prayer      	wswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswwswsw	0	0	0	1.0	0	0	1.0	0
                                        	swswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wsswsws	0	0	0	1.0	10.0	0	0.0	0
                                        	wsswswsw	0	0	0	1.0	10.0	0	0.0	0
i read in my book of songs              	wswwsws	0	0	0	1.0	0	0	1.0	0
                                        	swswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswwss	0	2.0	4.0	3.0	0	0	0.0	0
                                        	wsswsws	0	0	0	1.0	10.0	0	0.0	0
i bought at the sligo fair              	wswwsws	0	0	0	1.0	0	0	1.0	0
                                        	swswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wsswsws	0	0	0	1.0	10.0	0	0.0	0
                                        	wwswwss	3.0	2.0	4.0	3.0	0	0	0.0	3.0
when we come at the end of time         	swswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	wwswwsww	0	0	2.0	3.0	0	1.0	0.0	0
                                        	wwsswwss	0	2.0	2.0	4.0	0	0	0.0	0
                                        	swsswsws	0	0	0	1.0	10.0	0	0.0	0
to peter sitting in state               	wswswsw	0	0	2.0	0	0	0	0.0	0
                                        	wswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswss	0	0	0	1.0	10.0	0	0.0	0
he will smile on the three old spirits  	swswwswsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wwswwswsw	0	0	2.0	2.0	0	0	2.0	0
                                        	wswswswsw	0	4.0	4.0	0	0	0	0.0	0
                                        	wwswwssww	3.0	0	2.0	4.0	0	1.0	0.0	0
                                        	wwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	3.0
                                        	swswswssw	0	4.0	2.0	1.0	10.0	0	0.0	0
                                        	wwswswssw	0	2.0	2.0	2.0	10.0	0	1.0	0
but call me first through the gate      	wswswws	0	0	0	1.0	0	0	1.0	0
                                        	wswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswss	0	2.0	0	1.0	10.0	0	0.0	0
                                        	wswssws	0	2.0	0	1.0	10.0	0	0.0	0
for the good are always the merry       	swswswwsw	0	2.0	0	1.0	0	0	1.0	0
                                        	wwswswwsw	0	0	0	2.0	0	0	2.0	0
                                        	wwswswwss	0	2.0	0	3.0	0	0	1.0	3.0
                                        	wswswswsw	3.0	4.0	2.0	0	0	0	0.0	0
                                        	swswsswsw	0	2.0	0	1.0	10.0	0	0.0	0
                                        	wwswsswsw	0	0	0	2.0	10.0	0	1.0	0
                                        	wwswwswws	6.0	2.0	4.0	3.0	0	0	0.0	3.0
save by an evil chance                  	swwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswsws	0	2.0	2.0	0	0	0	0.0	0
                                        	swwsww	0	0	2.0	2.0	0	1.0	0.0	0
and the merry love the fiddle           	swswswsw	0	2.0	0	0	0	0	0.0	0
                                        	wwswswsw	0	0	0	1.0	0	0	1.0	0
                                        	wwswwsww	3.0	2.0	4.0	3.0	0	1.0	0.0	0
and the merry love to dance             	swswsws	0	2.0	0	0	0	0	0.0	0
                                        	wwswsws	0	0	0	1.0	0	0	1.0	0
                                        	wwswwss	0	2.0	2.0	3.0	0	0	0.0	0
and when the folk there spy me          	wswswsw	0	0	0	0	0	0	0.0	0
they will all come up to me             	wswswsw	0	4.0	0	0	0	0	0.0	0
                                        	wwsswsw	0	2.0	0	2.0	0	0	1.0	0
                                        	wwsswws	0	2.0	0	3.0	0	0	0.0	0
with here is the fiddler of dooney      	wswswswswsw	0	4.0	0	0	0	0	0.0	0
                                        	wswswswwsw	0	2.0	0	1.0	0	0	1.0	0
and dance like a wave of the sea        	wswwswws	0	0	0	2.0	0	0	1.0	0
                                        	swswswws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswsws	0	4.0	2.0	0	0	0	0.0	0
                                        	wswwswsw	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wsswswsw	0	2.0	2.0	1.0	10.0	0	0.0	0
                                        	wsswswss	0	2.0	0	2.0	20.0	0	0.0	0
                                        	wsswssws	0	2.0	0	2.0	20.0	0	0.0	0
i have heard the pigeons of the seven woods	swswswswsws	0	4.0	0	0	0	0	0.0	0
                                        	wwswswswsws	0	2.0	0	1.0	0	0	1.0	0
                                        	wsswswswsws	0	2.0	0	1.0	10.0	0	0.0	0
make their faint thunder and the garden bees	swwswswsws	0	2.0	2.0	1.0	0	0	1.0	0
                                        	wswswswsws	0	4.0	4.0	0	0	0	0.0	0
                                        	swwswwswws	3.0	2.0	4.0	3.0	0	0	0.0	0
                                        	swsswswsws	0	2.0	0	1.0	10.0	0	0.0	0
hum in the lime tree flowers and put away	wswswswwsws	0	0	4.0	1.0	0	0	1.0	0
                                        	swwswswwsws	0	0	2.0	2.0	0	0	2.0	0
                                        	swswswswsws	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	sswswswwsws	0	0	2.0	2.0	10.0	0	1.0	0
                                        	wswswswswss	0	4.0	6.0	1.0	10.0	0	0.0	3.0
                                        	sswswswswss	0	4.0	4.0	2.0	20.0	0	0.0	3.0
the unavailing outcries and the old bitterness	wswswwswwssws	3.0	2.0	2.0	3.0	0	0	2.0	0
                                        	wswswwswwssww	3.0	0	2.0	4.0	0	1.0	2.0	0
                                        	wswswswswwsws	3.0	4.0	4.0	1.0	0	0	1.0	0
                                        	wswswswwswsws	3.0	4.0	4.0	1.0	0	0	1.0	0
                                        	wswswwswswsws	3.0	4.0	4.0	1.0	0	0	1.0	0
                                        	wswswswswwsww	3.0	2.0	4.0	2.0	0	1.0	2.0	0
                                        	wswswswwswsww	3.0	2.0	4.0	2.0	0	1.0	2.0	0
                                        	wswswwswswsww	3.0	2.0	4.0	2.0	0	1.0	2.0	0
                                        	wswswsswwssws	0	2.0	0	3.0	10.0	0	1.0	0
                                        	wswswswswswsw	6.0	4.0	4.0	0	0	0	0.0	3.0
                                        	wswswsswswsws	0	4.0	2.0	1.0	10.0	0	0.0	0
                                        	wswswsswwssww	0	0	0	4.0	10.0	1.0	2.0	0
                                        	wswswsswswsww	0	2.0	2.0	2.0	10.0	1.0	1.0	0
                                        	wswswwswwswsw	6.0	2.0	4.0	2.0	0	0	2.0	3.0
                                        	wswswsswwswsw	3.0	2.0	2.0	2.0	10.0	0	1.0	3.0
that empty the heart i have forgot awhile	wswwswswsws	0	0	0	1.0	0	0	1.0	0
                                        	swswswswsws	3.0	2.0	2.0	0	0	0	0.0	3.0
                                        	sswwswwswws	3.0	2.0	4.0	4.0	10.0	0	0.0	3.0
tara uprooted and new commonness        	swwswwssww	0	0	0	4.0	0	1.0	0.0	0
                                        	swwswwssws	0	2.0	0	3.0	0	0	1.0	0
                                        	swwswswsws	0	4.0	2.0	1.0	0	0	1.0	0
                                        	swwswswsww	0	2.0	2.0	2.0	0	1.0	2.0	0
                                        	swwswwswws	3.0	2.0	2.0	3.0	0	0	0.0	0
                                        	swwswwswsw	3.0	2.0	2.0	2.0	0	0	2.0	3.0
                                        	wswswwssws	3.0	4.0	2.0	2.0	0	0	1.0	3.0
                                        	wswswswsws	3.0	6.0	4.0	0	0	0	0.0	3.0
                                        	wswswwssww	3.0	2.0	2.0	3.0	0	1.0	2.0	3.0
                                        	wswswswsww	3.0	4.0	4.0	1.0	0	1.0	1.0	3.0
                                        	wswswwswsw	6.0	4.0	4.0	1.0	0	0	1.0	6.0
upon the throne and crying about the streets	wswswswwsws	0	0	0	1.0	0	0	1.0	0
                                        	wswswswswsw	3.0	4.0	4.0	0	0	0	0.0	3.0
                                        	wswswswswss	3.0	4.0	2.0	1.0	10.0	0	0.0	3.0
and hanging its paper flowers from post to post	wswwswswwsws	0	0	0	2.0	0	0	2.0	0
                                        	wswwswswswsw	0	4.0	4.0	1.0	0	0	1.0	0
                                        	swswswswwsws	3.0	4.0	2.0	1.0	0	0	1.0	3.0
                                        	wswwswswswss	0	4.0	2.0	2.0	10.0	0	1.0	0
                                        	swswswswswsw	3.0	8.0	6.0	0	0	0	0.0	3.0
                                        	wswswswswsws	6.0	6.0	4.0	0	0	0	0.0	6.0
                                        	swswswswswss	3.0	8.0	4.0	1.0	10.0	0	0.0	3.0
because it is alone of all things happy 	wswswswswsw	0	2.0	2.0	0	0	0	0.0	0
                                        	wswswswwssw	0	2.0	0	2.0	0	0	1.0	0
i am contented for i know that quiet    	wswswswswsw	0	4.0	0	0	0	0	0.0	0
